"name","email","phone","clean_name","clean_email","clean_phone","data_quality_map","name_exception","email_exception","phone_exception","phone_ext"
"Weldon Schmeler","antwan36@yahoo.com","02169 243024","Weldon  Schmeler","antwan36@yahoo.com","02169 243024","","","","",NA
"Bettie Kshlerin","rhiannon.renner@gmail.com","05566 660245","Bettie  Kshlerin","rhiannon.renner@gmail.com","05566 660245","","","","",NA
"Conner Watsica","audreanne_morissette@yahoo.com","01697 703830","Conner  Watsica","audreanne_morissette@yahoo.com","01697 703830","","","","",NA
"Abbie Adams","jane_bartoletti@yahoo.com","01535 637480","Abbie  Adams","jane_bartoletti@yahoo.com","01535 637480","","","","",NA
"Alexandrine Pagac","nelle_bernhard70@gmail.com","01717 026928","Alexandrine  Pagac","nelle_bernhard70@gmail.com","01717 026928","","","","",NA
"Mr. Idell O'Reilly","german_wilkinson65yahoo.com","02521 196909","Mr.  Idell  O' Reilly","german_wilkinson65yahoo.com","02521 196909","[ ""A1"" ]","","TRUE","",NA
"Shawn Koelpin","fred_paucek33@yahoo.com","03596 285859","Shawn  Koelpin","fred_paucek33@yahoo.com","03596 285859","","","","",NA
"Myriam Stanton","madisen7@yahoo.com","01505 566540","Myriam  Stanton","madisen7@yahoo.com","01505 566540","","","","",NA
"Miguel Homenick","elton.friesen@gmail.com","05009 738860","Miguel  Homenick","elton.friesen@gmail.com","05009 738860","","","","",NA
"Eliezer Brown","yoshiko47@yahoo.com","08000 458532","Eliezer  Brown","yoshiko47@yahoo.com","08000 458532","","","","",NA
"Maxwell Beatty","kirstin22@hotmail.com","05606 782501","Maxwell  Beatty","kirstin22@hotmail.com","05606 782501","","","","",NA
"Andreanne Yost","miguel_rohan37@yahoo.com","05555 511800","Andreanne  Yost","miguel_rohan37@yahoo.com","05555 511800","","","","",NA
"Dr. Rosella Brown","braden59@hotmail.com","01118 579099","Dr.  Rosella  Brown","braden59@hotmail.com","01118 579099","","","","",NA
"Talia Kshlerin","janick23@yahoo.com","05650 000765","Talia  Kshlerin","janick23@yahoo.com","05650 000765","","","","",NA
"Dixie Stehr","kelly38@gmail.com","01216 258045","Dixie  Stehr","kelly38@gmail.com","01216 258045","","","","",NA
"Layla Beatty","tate.stoltenberg27@gmail.com","05509 596508","Layla  Beatty","tate.stoltenberg27@gmail.com","05509 596508","","","","",NA
"Madison Bailey","matt_hoeger93@gmail.com","01880 910975","Madison  Bailey","matt_hoeger93@gmail.com","01880 910975","","","","",NA
"Adrianna Hand","myrtis32@yahoo.com","05615 632601","Adrianna  Hand","myrtis32@yahoo.com","05615 632601","","","","",NA
"Vicenta Purdy DDS","dorcas_ullrich@gmail.com","05009 467840","Vicenta  Purdy  D D S","dorcas_ullrich@gmail.com","05009 467840","","","","",NA
"Wilburn Predovic","addison8@gmail.com","01818 960196","Wilburn  Predovic","addison8@gmail.com","01818 960196","","","","",NA
"Dayton Skiles","brielle.ryan82@hotmail.com","01317 023840","Dayton  Skiles","brielle.ryan82@hotmail.com","01317 023840","","","","",NA
"Bridie Quitzon","sonia_labadie11@gmail.com","05574 260243","Bridie  Quitzon","sonia_labadie11@gmail.com","05574 260243","","","","",NA
"Kenyatta Dooley","cornelius.dickens7@gmail.com","01114 568694","Kenyatta  Dooley","cornelius.dickens7@gmail.com","01114 568694","","","","",NA
"Imelda Langosh","gia_turcotte@hotmail.com","08094 561452","Imelda  Langosh","gia_turcotte@hotmail.com","08094 561452","","","","",NA
"Dr. Randall Batz","calista84@hotmail.com","01150 333977","Dr.  Randall  Batz","calista84@hotmail.com","01150 333977","","","","",NA
"Jay Stanton","eveline.larkin17@gmail.com","01876 570979","Jay  Stanton","eveline.larkin17@gmail.com","01876 570979","","","","",NA
"Johathan Yundt","rahsaan_jaskolski99@yahoo.com","05552 998951","Johathan  Yundt","rahsaan_jaskolski99@yahoo.com","05552 998951","","","","",NA
"Keanu Runolfsdottir","reba_powlowski@yahoo.com","08007 501363","Keanu  Runolfsdottir","reba_powlowski@yahoo.com","08007 501363","","","","",NA
"Joshua Lemke","eli_jacobs33@hotmail.c om","01913 258131","Joshua  Lemke","eli_jacobs33@hotmail.com","01913 258131","[ ""A1"", ""A2"" ]","","TRUE","",NA
"Rigoberto Johnson","tess98@gmail.com","08005 279620","Rigoberto  Johnson","tess98@gmail.com","08005 279620","","","","",NA
"Fern Stark","mackenzie77@yahoo.com","08004 438080","Fern  Stark","mackenzie77@yahoo.com","08004 438080","","","","",NA
"Lurline Greenfelder","elliott70@yahoo.com","01864 577803","Lurline  Greenfelder","elliott70@yahoo.com","01864 577803","","","","",NA
"Katrine Crist","clair.cronin89@yahoo.com","03772 774875","Katrine  Crist","clair.cronin89@yahoo.com","03772 774875","","","","",NA
"Jed Rice","otho.hane54@hotmail.com","01053 068940","Jed  Rice","otho.hane54@hotmail.com","01053 068940","","","","",NA
"Rubie Harvey DDS","melany66@hotmail.com","01697 753150","Rubie  Harvey  D D S","melany66@hotmail.com","01697 753150","","","","",NA
"Muriel Goyette","fatima_schmidt1@yahoo.com","01192 682201","Muriel  Goyette","fatima_schmidt1@yahoo.com","01192 682201","","","","",NA
"Caleigh Heidenreich","kavon_lowe67@hotmail.com","05575 284990","Caleigh  Heidenreich","kavon_lowe67@hotmail.com","05575 284990","","","","",NA
"Lauryn Gutkowski","cassandre53@hotmail.com","05667 256039","Lauryn  Gutkowski","cassandre53@hotmail.com","05667 256039","","","","",NA
"Angelo Mayert","brandyn72@gmail.com","01639 328620","Angelo  Mayert","brandyn72@gmail.com","01639 328620","","","","",NA
